icohp_num,icohp_num,atom1,atom2,bond_dist,icohp_value,icohp_scaled,in_dumbbell,color_indumb,center1,b,c,center2,e,f,dih_angle
108.0,108,As53,As390,2.57159,-3.4263,0.6885457402725808,True,1,As53,As52,As55,As390,As51,As444,-112.140704
109.0,109,As54,As112,2.49392,-4.11766,0.8274807380821279,True,1,As54,As50,As51,As112,As100,As427,-98.938637
110.0,110,As55,As69,2.53249,-3.47226,0.6977818148203225,False,0,,,,,,,
111.0,111,As55,As73,2.44548,-4.28963,0.8620396532251906,False,0,,,,,,,
112.0,112,As55,As403,2.4449,-4.37949,0.8800978268296309,False,0,,,,,,,
113.0,113,As56,As336,2.51506,-3.86177,0.7760573456534583,False,0,,,,,,,
114.0,114,As57,As58,2.46586,-4.38487,0.8811789861217731,False,0,,,,,,,
115.0,115,As57,As65,2.53232,-3.52762,0.7089069037446696,True,1,As57,As52,As58,As65,As11,As64,149.313845
116.0,116,As58,As59,2.46489,-4.37384,0.8789624086139056,False,0,,,,,,,
117.0,117,As59,As60,2.50777,-4.00735,0.80531295341369,True,1,As59,As58,As61,As60,As70,As103,-122.077929
118.0,118,As59,As61,2.47927,-4.07159,0.8182225580470002,True,1,As59,As58,As60,As61,As10,As222,93.992887
119.0,119,As60,As70,2.48726,-4.19622,0.8432680752551175,True,1,As60,As59,As103,As70,As94,As272,-45.340074
120.0,120,As60,As103,2.46852,-4.28969,0.8620517107637647,True,1,As60,As59,As70,As103,As102,As104,-85.798946
121.0,121,As61,As222,2.51775,-3.96459,0.796719947589899,True,1,As61,As10,As59,As222,As169,As224,-169.401535
122.0,122,As62,As63,2.48335,-4.21865,0.8477755850920593,True,1,As62,As224,As225,As63,As239,As240,-22.489663
123.0,123,As62,As224,2.47022,-4.31093,0.8663200794189874,True,1,As62,As63,As225,As224,As222,As227,88.548718
124.0,124,As62,As225,2.44455,-4.57343,0.9190718106805676,True,1,As62,As63,As224,As225,As223,As228,40.251335
125.0,125,As63,As239,2.52969,-3.85973,0.7756473893419397,True,1,As63,As62,As240,As239,As80,As244,-162.21414
126.0,126,As63,As240,2.50713,-4.14032,0.8320344684836037,True,1,As63,As62,As239,As240,As125,As223,-99.374748
127.0,127,As64,As65,2.4363,-4.433,0.890851141647944,True,1,As64,As9,As68,As65,As11,As57,84.017346
128.0,128,As64,As68,2.44555,-4.2987,0.8638623511396384,True,1,As64,As9,As65,As68,As71,As80,77.2957
129.0,129,As66,As73,2.47397,-4.22955,0.8499660379330163,True,1,As66,As79,As84,As73,As55,As92,-95.115125
130.0,130,As66,As79,2.47785,-4.11378,0.8267010172543378,True,1,As66,As73,As84,As79,As77,As82,-22.031266
131.0,131,As66,As84,2.48322,-4.1488,0.833738600602073,True,1,As66,As73,As79,As84,As82,As137,28.607866
132.0,132,As67,As120,2.463,-4.12405,0.828764865940267,True,1,As67,As123,As125,As120,As116,As149,-175.74361
133.0,133,As67,As123,2.45422,-4.28941,0.861995442250419,True,1,As67,As120,As125,As123,As96,As223,-167.307962
134.0,134,As67,As125,2.44566,-4.40664,0.8855538630344002,True,1,As67,As120,As123,As125,As124,As240,56.172186
135.0,135,As68,As71,2.49547,-4.0465,0.8131804973332744,True,1,As68,As64,As80,As71,As14,As20,-151.069189
136.0,136,As68,As80,2.45801,-4.21887,0.8478197960668309,True,1,As68,As64,As71,As80,As239,As243,-175.11108
137.0,137,As69,As117,2.45552,-4.32957,0.8700659547360002,True,1,As69,As55,As137,As117,As114,As116,59.888015
138.0,138,As69,As137,2.47476,-4.24694,0.8534607145297359,True,1,As69,As55,As117,As137,As84,As92,-93.233139
139.0,139,As70,As94,2.4538,-4.48585,0.9014718235419422,True,1,As70,As60,As272,As94,As10,As106,58.119778
140.0,140,As70,As272,2.49592,-4.09311,0.8225471952155687,True,1,As70,As60,As94,As272,As107,As267,83.14275
141.0,141,As72,As81,2.49743,-3.85237,0.7741683312768531,True,1,As72,As20,As31,As81,As85,As243,176.978366
142.0,142,As73,As92,2.45137,-4.38386,0.8809760175557763,True,1,As73,As55,As66,As92,As87,As137,69.649975
143.0,143,As74,As76,2.46162,-4.34473,0.8731124928157167,True,1,As74,As77,As87,As76,As83,As89,-43.711795
144.0,144,As74,As77,2.47259,-4.35678,0.8755340484793434,True,1,As74,As76,As87,As77,As78,As79,6.435373
145.0,145,As74,As87,2.46509,-4.3651,0.8772060271616152,True,1,As74,As76,As77,As87,As82,As92,-88.721028
146.0,146,As75,As78,2.46536,-4.30596,0.8653213133071015,True,1,As75,As29,As91,As78,As77,As83,157.410641
147.0,147,As75,As91,2.51988,-3.9465,0.7930845997098153,True,1,As75,As29,As78,As91,As93,As97,-145.356967
148.0,148,As76,As83,2.44394,-4.27605,0.8593106303279248,True,1,As76,As74,As89,As83,As78,As93,169.085682
149.0,149,As76,As89,2.46362,-4.25964,0.8560128935279152,True,1,As76,As74,As83,As89,As88,As101,83.679838
150.0,150,As77,As78,2.48668,-4.03397,0.810662481361055,True,1,As77,As74,As79,As78,As75,As83,-74.629849
151.0,151,As77,As79,2.47299,-4.20333,0.8446968935761454,True,1,As77,As74,As78,As79,As66,As82,87.936428
152.0,152,As78,As83,2.4525,-4.37876,0.8799511267769797,True,1,As78,As75,As77,As83,As76,As93,-53.248683
153.0,153,As79,As82,2.51705,-3.91437,0.7866277878033978,True,1,As79,As66,As77,As82,As84,As87,25.00393
154.0,154,As80,As239,2.57275,-3.40506,0.684277371617358,True,1,As80,As68,As243,As239,As63,As244,141.778286
155.0,155,As80,As243,2.45834,-4.16965,0.8379285952565643,True,1,As80,As68,As239,As243,As81,As252,-175.353918
