source,path,frame_index,natoms,atom_index,PC1,PC2
rss_train.extxyz,rss_train.extxyz,3,14,13,-2.97010587286897,13.897808968395251
rss_train.extxyz,rss_train.extxyz,4,16,0,-11.570966662616755,0.11874331761838697
rss_train.extxyz,rss_train.extxyz,4,16,1,-11.570966662616932,0.11874331761838386
rss_train.extxyz,rss_train.extxyz,4,16,2,-11.570966662618915,0.11874331762056123
rss_train.extxyz,rss_train.extxyz,4,16,3,-11.57096666261829,0.11874331762033963
rss_train.extxyz,rss_train.extxyz,4,16,4,-11.570966662616009,0.1187433176170174
rss_train.extxyz,rss_train.extxyz,4,16,5,-11.570966662618012,0.11874331761929557
rss_train.extxyz,rss_train.extxyz,4,16,6,-11.57096666262024,0.11874331762155621
rss_train.extxyz,rss_train.extxyz,4,16,7,-11.570966662618218,0.11874331761995083
rss_train.extxyz,rss_train.extxyz,4,16,8,-12.463006077423938,-2.0992725548487847
rss_train.extxyz,rss_train.extxyz,4,16,9,-12.463006077422445,-2.099272554850617
rss_train.extxyz,rss_train.extxyz,4,16,10,-12.463006077422673,-2.099272554850417
rss_train.extxyz,rss_train.extxyz,4,16,11,-12.46300607742759,-2.0992725548442173
rss_train.extxyz,rss_train.extxyz,4,16,12,-12.46300607742755,-2.099272554844417
rss_train.extxyz,rss_train.extxyz,4,16,13,-12.463006077426922,-2.099272554845678
rss_train.extxyz,rss_train.extxyz,4,16,14,-12.463006077424374,-2.099272554848093
rss_train.extxyz,rss_train.extxyz,4,16,15,-12.463006077422754,-2.099272554850815
rss_train.extxyz,rss_train.extxyz,5,8,0,-11.322743160018785,-2.7066211072611903
rss_train.extxyz,rss_train.extxyz,5,8,1,1.5308935260146868,-3.1807916693634324
rss_train.extxyz,rss_train.extxyz,5,8,2,-4.045333746247721,3.329932714486397
rss_train.extxyz,rss_train.extxyz,5,8,3,-1.9165334764416357,0.3720443923442236
rss_train.extxyz,rss_train.extxyz,5,8,4,-11.291206386661255,0.19163034784674604
rss_train.extxyz,rss_train.extxyz,5,8,5,-2.5107377921177623,1.6814321137492225
rss_train.extxyz,rss_train.extxyz,5,8,6,-6.209671834738568,0.596104350987942
rss_train.extxyz,rss_train.extxyz,5,8,7,1.9491556762710793,-7.570921493031568
rss_train.extxyz,rss_train.extxyz,6,6,0,-2.473104596187511,5.256264869033874
rss_train.extxyz,rss_train.extxyz,6,6,1,-11.749341460685649,-0.438714363726322
rss_train.extxyz,rss_train.extxyz,6,6,2,-5.8036196452665365,5.958325751109999
rss_train.extxyz,rss_train.extxyz,6,6,3,-12.126098792833044,1.7521516981093788
rss_train.extxyz,rss_train.extxyz,6,6,4,-6.37431260990008,5.456745599576616
rss_train.extxyz,rss_train.extxyz,6,6,5,-1.817578515045632,6.772217022671544
