icohp_num,icohp_num,atom1,atom2,bond_dist,icohp_value,icohp_scaled,in_dumbbell,color_indumb,center1,b,c,center2,e,f,dih_angle
185.0,185,P72,P237,2.1992,-5.49595,0.8413048303521541,True,1,P72,P90,P229,P237,P45,P175,68.777742
186.0,186,P73,P84,2.24624,-5.13255,0.7856765631099171,True,1,P73,P109,P210,P84,P49,P165,43.73392
187.0,187,P73,P109,2.27983,-4.644,0.7108906798925397,True,1,P73,P84,P210,P109,P178,P193,-35.001223
188.0,188,P73,P210,2.26222,-4.90009,0.7500922290341591,True,1,P73,P84,P109,P210,P178,P212,40.401707
189.0,189,P74,P147,2.25488,-5.0963,0.7801275133368542,True,1,P74,P206,P228,P147,P128,P245,-76.963752
190.0,190,P74,P206,2.22875,-5.27539,0.8075421153743121,False,0,,,,,,,
191.0,191,P74,P228,2.23982,-5.17794,0.7926247388119676,True,1,P74,P147,P206,P228,P86,P162,62.950834
192.0,192,P75,P227,2.15948,-6.00695,0.9195272974979525,False,0,,,,,,,
193.0,193,P76,P116,2.27217,-4.8972,0.7496498358246653,True,1,P76,P28,P182,P116,P196,P202,-34.896925
194.0,194,P76,P182,2.23326,-5.21016,0.7975568873275011,True,1,P76,P28,P116,P182,P133,P244,73.63212
195.0,195,P77,P141,2.29701,-4.6763,0.7158350745868828,True,1,P77,P17,P161,P141,P195,P215,-6.083361
196.0,196,P77,P161,2.2347,-5.45984,0.8357772113920078,True,1,P77,P17,P141,P161,P29,P32,-29.162098
197.0,197,P78,P82,2.26452,-5.14741,0.7879512908237851,True,1,P78,P30,P61,P82,P98,P152,-86.328191
198.0,198,P79,P153,2.25895,-5.02321,0.7689390982220078,True,1,P79,P33,P221,P153,P111,P191,117.433666
199.0,199,P79,P221,2.25722,-4.92532,0.753954367676211,True,1,P79,P33,P153,P221,P125,P203,-105.551576
200.0,200,P80,P142,2.22032,-5.30933,0.8127375567342503,True,1,P80,P151,P185,P142,P56,P120,65.569365
201.0,201,P80,P151,2.21395,-5.34167,0.817688074517998,True,1,P80,P142,P185,P151,P155,P158,-44.321004
202.0,202,P80,P185,2.26246,-4.99129,0.7640528728770101,True,1,P80,P142,P151,P185,P188,P190,15.522748
203.0,203,P81,P135,2.25461,-5.09365,0.7797218586637888,True,1,P81,P3,P29,P135,P32,P230,-44.549411
204.0,204,P82,P98,2.23731,-5.29408,0.8104031288986858,True,1,P82,P78,P152,P98,P50,P167,56.348328
205.0,205,P82,P152,2.25538,-5.09487,0.779908612890634,True,1,P82,P78,P98,P152,P24,P94,23.537883
206.0,206,P83,P163,2.25111,-5.09057,0.7792503807796223,True,1,P83,P26,P232,P163,P52,P134,-45.331133
207.0,207,P83,P232,2.20332,-5.51878,0.8447995836299204,True,1,P83,P26,P163,P232,P159,P183,-67.795048
208.0,208,P84,P165,2.21737,-5.27116,0.8068945986697588,True,1,P84,P49,P73,P165,P27,P193,57.761298
209.0,209,P85,P189,2.19836,-5.58782,0.8553680359425347,True,1,P85,P63,P200,P189,P130,P192,80.493315
210.0,210,P85,P200,2.29884,-4.70699,0.7205330149326843,True,1,P85,P63,P189,P200,P101,P201,-6.13747
211.0,211,P86,P88,2.28879,-4.79023,0.7332751639839882,True,1,P86,P184,P228,P88,P108,P214,21.204867
212.0,212,P86,P184,2.27695,-5.0511,0.7732084223094762,True,1,P86,P88,P228,P184,P55,P226,11.974839
213.0,213,P86,P228,2.24038,-5.29364,0.8103357749152335,True,1,P86,P88,P184,P228,P74,P162,-92.082843
214.0,214,P87,P211,2.23357,-5.39975,0.8265788003337083,True,1,P87,P13,P225,P211,P51,P244,41.962218
215.0,215,P87,P225,2.22836,-5.27548,0.8075558923254728,True,1,P87,P13,P211,P225,P166,P234,-60.403443
216.0,216,P88,P108,2.21347,-5.4148,0.828882612722249,True,1,P88,P86,P214,P108,P5,P226,-53.206302
217.0,217,P88,P214,2.19577,-5.62177,0.8605650080748241,False,0,,,,,,,
218.0,218,P89,P121,2.22754,-5.24104,0.8022839123479751,True,1,P89,P136,P212,P121,P100,P179,-59.826999
219.0,219,P89,P136,2.2217,-5.38829,0.8248245352192448,True,1,P89,P121,P212,P136,P4,P220,82.577851
220.0,220,P89,P212,2.25543,-5.12529,0.7845652223829532,True,1,P89,P121,P136,P212,P99,P210,29.328556
221.0,221,P90,P97,2.18618,-5.56562,0.8519697213228934,True,1,P90,P72,P207,P97,P7,P173,75.180016
222.0,222,P90,P207,2.26044,-4.95939,0.7591697090767147,True,1,P90,P72,P97,P207,P167,P187,-60.086331
223.0,223,P91,P95,2.21768,-5.46098,0.8359517194400434,True,1,P91,P107,P139,P95,P96,P177,-30.936374
224.0,224,P91,P107,2.24282,-5.21068,0.7976364874897629,True,1,P91,P95,P139,P107,P186,P223,-8.070653
225.0,225,P91,P139,2.26409,-4.8134,0.7368219635216948,True,1,P91,P95,P107,P139,P11,P110,97.444513
226.0,226,P92,P231,2.25052,-5.01069,0.7670225712383183,True,1,P92,P57,P65,P231,P68,P209,69.753147
227.0,227,P93,P181,2.21435,-5.2603,0.8052321798963666,False,0,,,,,,,
